,date,province,total,admitted,deaths
581,2020-04-30,Limburg,4105,1499,619
582,2020-04-30,Noord-Brabant,8136,2536,1353
583,2020-04-30,Noord-Holland,5714,1522,611
584,2020-04-30,Overijssel,2702,534,252
585,2020-04-30,Utrecht,2823,812,335
586,2020-04-30,Zeeland,584,148,53
587,2020-04-30,Zuid-Holland,8133,1874,856
588,2020-05-01,Drenthe,476,114,31
589,2020-05-01,Flevoland,749,247,51
590,2020-05-01,Friesland,534,126,57
591,2020-05-01,Gelderland,5119,1305,578
592,2020-05-01,Groningen,334,74,13
593,2020-05-01,Limburg,4144,1509,628
594,2020-05-01,Noord-Brabant,8225,2547,1362
595,2020-05-01,Noord-Holland,5793,1530,618
596,2020-05-01,Overijssel,2720,535,272
597,2020-05-01,Utrecht,2859,822,338
598,2020-05-01,Zeeland,587,148,53
599,2020-05-01,Zuid-Holland,8251,1897,892
600,2020-05-02,Drenthe,482,114,32
601,2020-05-02,Flevoland,764,249,55
602,2020-05-02,Friesland,539,127,57
603,2020-05-02,Gelderland,5188,1321,585
604,2020-05-02,Groningen,334,74,13
605,2020-05-02,Limburg,4193,1513,639
606,2020-05-02,Noord-Brabant,8303,2578,1386
607,2020-05-02,Noord-Holland,5864,1542,625
608,2020-05-02,Overijssel,2746,535,272
609,2020-05-02,Utrecht,2888,824,347
610,2020-05-02,Zeeland,590,148,53
611,2020-05-02,Zuid-Holland,8345,1922,923
612,2020-05-03,Drenthe,483,115,32
613,2020-05-03,Flevoland,766,249,55
614,2020-05-03,Friesland,539,127,58
615,2020-05-03,Gelderland,5249,1326,592
616,2020-05-03,Groningen,334,74,13
617,2020-05-03,Limburg,4219,1515,645
618,2020-05-03,Noord-Brabant,8376,2593,1391
619,2020-05-03,Noord-Holland,5898,1546,658
620,2020-05-03,Overijssel,2767,536,272
621,2020-05-03,Utrecht,2913,829,350
622,2020-05-03,Zeeland,592,149,53
623,2020-05-03,Zuid-Holland,8435,1929,937
624,2020-05-04,Drenthe,487,115,32
625,2020-05-04,Flevoland,772,251,56
626,2020-05-04,Friesland,541,127,58
627,2020-05-04,Gelderland,5273,1336,595
628,2020-05-04,Groningen,335,74,13
