,date,province,total,admitted,deaths
632,2020-04-20,Overijssel,48,2,2
633,2020-04-20,Utrecht,47,6,8
634,2020-04-20,Zeeland,7,1,0
635,2020-04-20,Zuid-Holland,141,14,8
636,2020-04-21,Drenthe,5,8,1
637,2020-04-21,Flevoland,23,4,3
638,2020-04-21,Fryslân,6,0,3
639,2020-04-21,Gelderland,97,22,20
640,2020-04-21,Groningen,4,0,0
641,2020-04-21,Limburg,89,17,7
642,2020-04-21,Noord-Brabant,139,17,42
643,2020-04-21,Noord-Holland,98,10,23
644,2020-04-21,Overijssel,60,7,13
645,2020-04-21,Utrecht,50,2,12
